step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
9,CASH_OUT,156145.04,C263954561,0.0,0.0,C168356446,1549488.59,2150642.85,0,0
12,CASH_OUT,147052.16,C1819650303,28.0,0.0,C325785010,0.0,147052.16,0,0
6,PAYMENT,4466.25,C1030849096,45837.0,41370.75,M752572788,0.0,0.0,0,0
9,PAYMENT,12438.69,C297612430,10053.0,0.0,M696078662,0.0,0.0,0,0
9,PAYMENT,22495.73,C291479311,15459.0,0.0,M263577861,0.0,0.0,0,0
12,TRANSFER,384020.31,C1135618551,88671.56,0.0,C1589771984,5001.0,443500.49,0,0
9,CASH_OUT,250116.23,C828498327,20045.0,0.0,C156363230,11570.0,244004.07,0,0
10,CASH_IN,95343.11,C673419548,20517.0,115860.11,C1903867630,0.0,0.0,0,0
11,CASH_OUT,147545.49,C1990380848,0.0,0.0,C572925271,378323.43,1621738.16,0,0
9,PAYMENT,7431.17,C1502819584,0.0,0.0,M1157871742,0.0,0.0,0,0
12,CASH_IN,331895.27,C674227455,321228.38,653123.65,C141847315,2697850.9,1839696.76,0,0
9,CASH_OUT,199842.1,C902579337,126594.0,0.0,C286244216,448959.67,1527683.68,0,0
8,CASH_IN,391636.58,C717937144,5355398.76,5747035.34,C414205222,590315.25,476642.33,0,0
6,PAYMENT,17849.56,C1743583213,48130.0,30280.44,M1775247809,0.0,0.0,0,0
12,PAYMENT,17652.02,C1335520357,21151.91,3499.89,M1759591300,0.0,0.0,0,0
10,CASH_OUT,259049.67,C1153685293,0.0,0.0,C1945919628,302038.5,748123.41,0,0
12,CASH_IN,140696.21,C408633225,2220.0,142916.21,C328922842,0.0,129975.16,0,0
12,CASH_OUT,76554.53,C1500504630,10893.0,0.0,C942975218,1758776.46,1835330.99,0,0
11,TRANSFER,513883.51,C733523857,0.0,0.0,C1819706577,596354.5,1110238.01,0,0
12,CASH_OUT,41589.21,C185527898,0.0,0.0,C1615634265,740845.84,1078881.17,0,0
7,CASH_OUT,253932.77,C354892520,0.0,0.0,C2059996587,322941.28,1216696.84,0,0
9,CASH_OUT,96719.85,C818683354,101315.0,4595.15,C1023535667,2413928.24,2925852.96,0,0
10,CASH_IN,19782.35,C853720806,1584398.85,1604181.2,C2109470512,11982655.17,12502600.14,0,0
12,CASH_IN,31909.8,C1464080739,5283834.31,5315744.11,C1656128271,223506.79,202296.69,0,0
10,TRANSFER,354236.39,C7246540,0.0,0.0,C1153565805,398054.51,714451.14,0,0
13,PAYMENT,2791.2,C663153097,0.0,0.0,M1031784564,0.0,0.0,0,0
12,CASH_OUT,158499.03,C1693235343,1276332.91,1117833.88,C1282745381,2220098.16,3864548.11,0,0
8,CASH_IN,11278.44,C494038207,152813.3,164091.74,C1090263069,1271887.93,1260609.49,0,0
13,PAYMENT,729.65,C1038175254,0.0,0.0,M1280020318,0.0,0.0,0,0
9,DEBIT,1425.77,C1099535395,20754.0,19328.23,C1254893565,2085959.07,2087384.84,0,0
12,PAYMENT,10949.36,C913074373,14446.0,3496.64,M651520813,0.0,0.0,0,0
13,CASH_OUT,310193.69,C1464027882,0.0,0.0,C1860391374,1176386.37,1587750.31,0,0
9,CASH_OUT,62582.59,C1736694678,1109.0,0.0,C59941009,1811949.96,1874532.55,0,0
12,TRANSFER,71793.31,C545481689,0.0,0.0,C791512944,2651828.71,2723622.02,0,0
11,PAYMENT,6934.43,C296644591,2885698.14,2878763.71,M846753735,0.0,0.0,0,0
9,PAYMENT,972.68,C1700337505,0.0,0.0,M709406022,0.0,0.0,0,0
9,CASH_OUT,61336.44,C749963918,61036.0,0.0,C206443140,97512.0,272795.66,0,0
11,CASH_OUT,294990.6,C1981637146,0.0,0.0,C210493952,316730.81,611721.41,0,0
10,CASH_IN,213337.51,C1203028827,5011142.2,5224479.71,C590035788,488977.76,275640.25,0,0
9,CASH_IN,464013.92,C1477805649,3471503.42,3935517.33,C867882420,500062.81,0.0,0,0
10,PAYMENT,31127.91,C1055535155,0.0,0.0,M1887857205,0.0,0.0,0,0
12,CASH_IN,252944.63,C1381968038,19862768.33,20115712.95,C1967017653,999425.65,74842.56,0,0
10,CASH_OUT,34045.18,C2044882079,100589.0,66543.82,C1489369739,1666934.48,2261758.48,0,0
9,CASH_OUT,278094.93,C1875011390,0.0,0.0,C2011561834,436818.56,1437241.65,0,0
11,CASH_IN,200679.26,C2082060123,9345025.69,9545704.95,C1022269511,5162119.97,5340648.54,0,0
